fly_number,fly_species,fly_sex,cage_number,first_visit,landing_time_1,landing_duration_1,feeding_observed_1,second_visit,landing_time_2,landing_duration_2,feeding_observed_2,third_visit,landing_time_3,landing_duration_3,feeding_observed_3,date,experience,notes
491,E. tenax,M,3,yellow,7.27,1.37,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
492,E. tenax,M,4,blue,5.5,0.24,Y,yellow,8.54,0.14,Y,NA,NA,NA,NA,25/09/24,naive,
493,E. tenax,F,5,yellow,0.18,0.43,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
494,E. tenax,M,6,yellow,7.27,0.37,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
495,E. tenax,F,7,yellow,8.18,0.57,Y,yellow,9.56,0.08,Y,NA,NA,NA,NA,25/09/24,naive,
496,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
497,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
498,E. tenax,F,1,yellow,0.17,1.3,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
499,E. tenax,M,2,yellow,4.4,7.29,Y,white,12.16,0.1,N,yellow,12.26,0.06,N,25/09/24,naive,
500,E. tenax,F,3,yellow,2.57,0.56,Y,white,4,0.11,N,yellow,4.19,0.38,Y,25/09/24,naive,
501,E. tenax,F,4,white,0.25,13.38,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
502,E. tenax,F,5,yellow,1.13,1.56,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
503,E. tenax,M,6,blue,12.48,0.41,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
504,E. tenax,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
505,E. tenax,M,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
506,E. tenax,M,9,pink,14.47,1.05,N,pink,16.35,0.16,N,NA,NA,NA,NA,25/09/24,naive,
507,E. tenax,M,1,white,0.14,3.13,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
508,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
509,E. tenax,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
510,E. tenax,F,4,white,7.47,1.54,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
511,E. tenax,F,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
512,E. tenax,F,6,white,0.5,5.28,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
513,E. tenax,M,7,yellow,0.35,1.04,Y,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
514,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
515,E. tenax,M,9,yellow,15.18,1.03,N,NA,NA,NA,NA,NA,NA,NA,NA,25/09/24,naive,
516,E. tenax,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/24,naive,
517,E. tenax,M,2,yellow,0.18,1.55,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/25,naive,
518,E. tenax,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/26,naive,
519,E. tenax,M,4,yellow,10.1,2.02,N,NA,NA,NA,NA,NA,NA,NA,NA,26/09/27,naive,
520,E. tenax,M,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/28,naive,
521,E. tenax,M,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/29,naive,
522,E. tenax,M,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/30,naive,
523,E. tenax,F,8,white,10.55,3.02,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/31,naive,
524,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/32,naive,
525,E. tenax,F,1,pink,0.21,19.06,N,NA,NA,NA,NA,NA,NA,NA,NA,26/09/33,naive,
526,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/34,naive,
527,E. tenax,F,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/35,naive,
528,E. tenax,M,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/36,naive,
529,E. tenax,F,5,yellow,18.24,0.49,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/37,naive,
530,E. tenax,F,6,white,5.16,0.56,Y,pink,6.19,0.45,N,white,7.1,0.38,Y,26/09/38,naive,
531,E. tenax,F,7,white,2.44,2.06,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/39,naive,
532,E. tenax,F,8,white,0.16,2.21,N,white,4.56,0.03,Y,NA,NA,NA,NA,26/09/40,naive,
533,E. tenax,F,9,yellow,9.39,7.5,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/41,naive,
534,E. tenax,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/42,naive,
535,E. tenax,F,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/43,naive,
536,E. tenax,M,3,white,9.27,0.32,N,NA,NA,NA,NA,NA,NA,NA,NA,26/09/44,naive,
537,E. tenax,M,4,yellow,3.08,5.59,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/45,naive,
538,E. tenax,M,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/46,naive,
539,E. tenax,F,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/47,naive,
540,E. tenax,F,7,blue,8.27,1.19,N,NA,NA,NA,NA,NA,NA,NA,NA,26/09/48,naive,
541,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/49,naive,
542,E. tenax,M,9,yellow,1.41,0.25,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/50,naive,
543,E. tenax,M,1,yellow,0.02,0.41,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/51,naive,
544,E. tenax,M,2,yellow,5.09,0.12,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/52,naive,
545,E. tenax,M,3,yellow,6.15,1.54,N,NA,NA,NA,NA,NA,NA,NA,NA,26/09/53,naive,
546,E. tenax,F,4,yellow,16.4,0.13,N,yellow,17.26,2.11,Y,NA,NA,NA,NA,26/09/54,naive,
547,E. tenax,F,5,white,11.05,5.01,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/55,naive,
548,E. tenax,M,6,yellow,8.47,1.01,Y,NA,NA,NA,NA,NA,NA,NA,NA,26/09/56,naive,
549,E. tenax,F,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/57,naive,
550,E. tenax,F,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/58,naive,
551,E. tenax,F,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/09/59,naive,
